121;Kaos Panjang;KK;100000
122;Kaos Pendek;KL;150000
123;piyama;KD;200000
124;Kemeja;KDL;155000
125;Blouse Biasa;KBK;250000
126;Ruffled Blouse;LTH;300000
127;Laced Blouse;KCL;450000
128;Jeans;KO;350000
129;Celana Training;KP;150000
130;Skinny Jeans;KS;120000
131;Ripped Jeans;STR;200000
132;Celana Panjang;WL;300000
133;HotPants Biasa;KB;350000
134;Jeans Hotpants;KSF;430000
135;Celana Kulot;KR;250000
136;Jeans Pensil;TWS;150000
137;Sweeter;JRS;120000
138;Kebaya;KRY;500000
139;Mess dress;KV;340000
140;Frilly Dress;KK01;430000
141;Pattern Dress;KL01;200000
142;Strippes Dress;KD01;250000
143;Long Dress;KDL01;130000
144;Gamis Muslimah;KBK01;400000
145;Maxi Skirt;LTH01;300000
146;Mini Skirt;KCL01;350000
147;Jeand Skirt;KO01;150000
148;Long Skrit;KP01;200000
149;Jaket Panjang;KS01;120000
150;Jaket Levis;STR01;150000
